Zaman(s);Hata_e(t);Cikis_u(t);Hiz(m/s)
26.6200;89.5809;0.0000;0.0001
26.6400;89.5810;0.0000;0.0001
26.6600;89.5809;0.0000;0.0004
26.6800;89.5810;0.0000;0.0003
26.7000;89.5810;0.0000;0.0001
26.7200;89.5810;0.0000;0.0001
26.7400;89.5810;0.0000;0.0002
26.7600;89.5810;0.0000;0.0001
26.7800;89.5810;0.0000;0.0002
26.8000;89.5810;0.0000;0.0000
26.8200;89.5810;0.0000;0.0002
26.8400;89.5810;0.0000;0.0001
