Zaman(s);Hata_e(t);Cikis_u(t);Hiz(m/s)
4.9000;-3.0561;-3.6913;17.8480
4.9200;-2.9271;-2.8355;17.8514
4.9400;-3.1346;-3.7335;17.8543
4.9600;-3.0032;-2.9181;17.8571
4.9800;-2.9197;-2.9390;17.8612
5.0000;-3.0995;-3.6604;17.8631
5.0200;-2.9715;-2.9116;17.8631
5.0400;-2.8875;-2.9240;17.8646
5.0600;-3.0481;-3.5880;17.8661
5.0800;-2.9240;-2.8904;17.8692
5.1000;-2.8374;-2.8866;17.8678
5.1200;-2.9828;-3.5100;17.8729
5.1400;-2.8611;-2.8502;17.8736
5.1600;-2.9654;-3.4205;17.6993
5.1800;-2.8539;-2.8757;17.7561
5.2000;-2.7347;-2.7473;17.5476
5.2200;-2.8717;-3.4112;17.5737
5.2400;-2.7540;-2.7809;17.5971
5.2600;-2.6726;-2.7795;17.6179
5.2800;-2.8074;-3.3598;17.6367
5.3000;-2.6905;-2.7358;17.6535
5.3200;-2.6070;-2.7267;17.6670
5.3400;-2.7560;-3.3539;17.6806
5.3600;-2.6372;-2.6952;17.6928
5.3800;-2.5568;-2.6991;17.7021
5.4000;-2.7339;-3.4051;17.7119
5.4200;-2.6123;-2.6806;17.7222
5.4400;-2.8307;-3.5962;17.7298
5.4600;-2.6983;-2.7548;17.7368
5.4800;-2.6151;-2.7779;17.7437
5.5000;-2.8882;-3.7812;17.7489
5.5200;-2.7465;-2.8000;17.7538
5.5400;-2.6617;-2.8375;17.7582
5.5600;-3.0152;-4.0878;17.7622
5.5800;-2.8590;-2.8989;17.7656
5.6000;-2.7717;-2.9586;17.7682
5.6200;-3.1516;-4.2943;17.5876
5.6400;-2.8753;-2.6877;17.4632
5.6600;-2.7687;-2.9338;17.4587
5.6800;-3.2578;-4.6398;17.3313
5.7000;-3.0774;-3.1017;17.3354
5.7200;-2.9783;-3.1754;17.3199
5.7400;-3.7211;-5.6355;17.3725
5.7600;-3.5086;-3.4836;17.4072
5.7800;-4.4235;-6.6979;17.4285
5.8000;-4.1685;-4.0671;17.4498
5.8200;-4.0622;-4.2736;17.4707
5.8400;-5.2058;-7.9656;17.4900
5.8600;-4.7636;-4.3026;17.3760
5.8800;-4.6845;-4.9743;17.4158
5.9000;-6.0392;-9.2526;17.4302
5.9200;-5.4883;-4.8305;17.2867
5.9400;-5.2804;-5.3352;17.2175
5.9600;-6.7821;-10.3230;17.1697
5.9800;-6.2695;-5.7188;17.1034
6.0000;-6.0418;-6.0869;17.0520
6.0200;-7.7521;-11.7489;17.0104
6.0400;-7.1789;-6.5374;16.9444
6.0600;-6.9285;-6.9620;16.8937
6.0800;-8.8150;-13.2065;16.8530
6.1000;-8.1703;-7.4208;16.7850
6.1200;-7.8909;-7.9053;16.7335
6.1400;-9.9167;-14.6332;16.6927
6.1600;-9.2153;-8.3940;16.6222
6.1800;-11.2941;-16.1459;16.5691
6.2000;-10.5098;-9.5501;16.4880
6.2200;-10.1397;-10.0485;16.4264
6.2400;-12.2298;-17.1614;16.3786
6.2600;-11.4205;-10.4680;16.3006
6.2800;-11.0272;-10.9495;16.2424
6.3000;-13.1205;-18.1206;16.1981
6.3200;-12.2873;-11.3503;16.1231
6.3400;-11.8818;-11.8453;16.0679
6.3600;-13.9312;-18.9099;16.0266
6.3800;-13.0816;-12.1809;15.9552
6.4000;-12.6606;-12.6640;15.9033
6.4200;-14.6267;-19.5094;15.8654
6.4400;-13.7775;-12.9528;15.7984
6.4600;-15.5972;-20.2300;15.7505
6.4800;-14.7222;-13.8962;15.6787
6.5000;-14.2538;-14.2905;15.6268
6.5200;-15.9199;-20.3260;15.5896
6.5400;-15.0843;-14.4257;15.5283
6.5600;-16.5885;-20.7211;15.4854
6.5800;-15.7495;-15.1417;15.4233
6.6000;-15.2637;-15.4118;15.3798
6.6200;-16.5950;-20.4702;15.3502
6.6400;-15.8027;-15.3849;15.3013
6.6600;-16.9715;-20.5768;15.2692
6.6800;-16.1829;-15.8353;15.2221
6.7000;-15.6934;-15.9923;15.1915
6.7200;-16.7010;-20.0774;15.1735
6.7400;-15.9634;-15.8188;15.1404
6.7600;-16.8342;-19.9958;15.1219
6.7800;-16.1046;-16.0408;15.0917
6.8000;-16.8190;-19.7273;15.0758
6.8200;-16.1035;-16.1342;15.0505
6.8400;-15.6104;-16.1312;15.0386
6.8600;-16.1814;-18.8995;15.0372
6.8800;-15.5123;-15.7381;15.0265
6.9000;-15.9632;-18.5013;15.0271
6.9200;-15.3098;-15.6325;15.0211
6.9400;-14.8265;-15.5305;15.0257
6.9600;-15.1148;-17.4204;14.9821
6.9800;-14.3122;-14.4290;14.7763
7.0000;-13.7627;-14.4288;14.7006
7.0200;-13.9283;-16.0791;14.7123
7.0400;-13.4325;-14.2661;14.8949
7.0600;-12.9178;-13.7439;14.9470
7.0800;-12.8752;-14.6905;14.9674
7.1000;-12.1282;-12.5381;14.9850
7.1200;-11.4154;-11.9251;15.0276
7.1400;-11.0372;-12.2554;15.0876
7.1600;-10.0962;-10.1959;15.1397
7.1800;-9.2962;-9.7100;15.3473
7.2000;-8.8627;-10.0463;15.6559
7.2200;-7.8560;-7.8962;15.3040
7.2400;-7.1857;-7.9331;15.6402
7.2600;-6.7316;-7.9380;15.9543
7.2800;-6.0695;-6.8704;16.2472
7.3000;-5.6300;-6.9008;16.5244
7.3200;-5.0432;-6.0293;16.7841
7.3400;-4.5213;-5.6541;17.0305
7.3600;-4.3472;-6.1999;16.2336
7.3800;-4.0901;-5.7842;16.1599
7.4000;-3.8679;-5.6434;16.2756
7.4200;-3.7186;-5.6514;16.4202
7.4400;-3.4893;-5.2685;16.5513
